controlNumber,prefLabel,scopeNote
144544,Exlibris,
263570,Exogami,
144548,Exogena processer,
321364,Exoplaneter,
144549,Exorcism,"- religionsgenomenologi Cm.03, - spiritism Dopb. Se även resp religion med tillägg .03"
s4q8v939q8v8j5b3,Exorcism i filmen,
224484,Exorcism i litteraturen,
144552,Exotism,
wb0mfpjptr3vhxpx,Exotism i filmen,
324922,Exotism i konsten,
172014,Exotism i litteraturen,
388782,Experiment,Samlingsterm för alla typer av experiment.
268016,Experimentell arkeologi,
220448,Experimentell arkitektur,
226424,Experimentell ekonomi,
370636,Experimentell jazz,
167995,Experimentell konst,
140109,Experimentell litteratur,
220449,Experimentell musik,
144553,Experimentell patologi,
144554,Experimentell poesi,"se även resp skönlitteratur med tillägg .03, t ex svensk Gc.03. För genren i sig se H.03 och resp litteraturhistoria med tillägg .03, t ex svensk Hc.03"
144555,Experimentell psykologi,"- experimentell psykologi människor Doaa, - experimentell psykologi djur Doab."
144558,Experimentell rock,
144561,Experimentfilm,
144562,Experimenthus,
144563,Experimentteater,"- teaterestetik Ikaa, - teaterhistoria Ikb."
l5g4gdr6jtl70dvs,Expertis,
144564,Expertsystem,
144565,Exploatering,
245611,Explosioner,"- sprängämnen Pmab, - termokemi Uceefe."
bprgw0h989ncf5qk,Explosiva varor,
144567,Exponenter,
144569,Exponering (fotografi),
144570,Exponeringsmätare,
144571,Export,"- handel Qi, - nationalekonomi Qadi"
144572,Exportannonsering,
170339,Exportförbud,
144573,Exportförpackning,
144574,Exportgarantier,
144575,Exportkrediter,
144576,Exportlättnader,
144577,Exportmarknader,
343727,Exportrestriktioner,
166402,Exporträtt,
144580,Expressionism,"- konsthistoria Ib.5, - målarkonst Ie.5."
168929,Expressionism (arkitektur),
273800,Expressionism (film),
168930,Expressionism (litteratur),
144579,Expressionism (musik),
171957,Expressionism (teater),
144582,Expropriation,
144583,Expropriation--juridik och lagstiftning,
144584,Expropriationsteknik,
144585,Extas,"- psykologi Dodf, - religion C:do"
zblgv2crw6dmx26g,Extas i litteraturen,
144586,Extern redovisning,
144587,Extern revision,
168090,Exterritorialitet,
144588,Exterritorialrätt,
144380,Extrasensorisk perception,
370429,Extrem hårdrock,
370427,Extrem metal,
5hjfsts83gr83k8b,Extrema miljöer,"Hit verk om fysikaliskt extrema miljöer, t.ex. miljöer präglade av extrema temperaturer, lufttryck, torka etc."
289386,Extremaduriska språket,
144589,Extremism,
144591,Extremiteter,
263564,Extremitetsmissbildningar,
304624,Extremprogrammering,
267342,Extremsporter,"""sports that in some way go beyond traditional sports; testing limits and danger."" (Encyc. of world sport, 1996)"
m5sgpf8fkzl7ftmv,Extremvärdesteori,
402266,Extroversion,
224360,F (programspråk),
273803,F.d. Sovjetrepubliker,"Hit verk som gemensamt behandlar de Sovjetrepubliker, som tidigare ingick i Sovjetunionen."
144674,Fabeldjur,
144675,Fabeldjur i konsten,
144676,Fabeldjur i litteraturen,
144677,Fabelväsen,
144678,Fabler,"se även resp litteraturhistoria, t ex svensk Gc. För genren i sig se H och resp skönlitteratur, t ex svensk Hc"
144679,Fabliauer,
391584,Fabriker,
163714,Fabriksförsäljning,
260853,Fabrys sjukdom,
332667,Facebook,
308234,Faciliterad kommunikation,
236199,Facility management,"- arbetsmiljö Ohae, - anläggningar och inventarier Qbd."
144681,Fackföreningsrörelsen,
144682,Fackhögskolor,
144684,Facklig demokrati,
144685,Facklig utbildning,
167179,Fackliga förtroendemän,förtroendevalda inom fackliga organisationer
144680,Fackliga internationaler,Se även namn på särsk organisationer.
167180,Fackliga ledare,
167181,Fackliga ombudsmän,personer anställda av fackliga organisationer
139780,Fackliga organisationer,
144687,Fackligt arbete,
144688,Facklitteratur,
144689,Facklitteratur--historia,
144691,Facklor,
144692,Fackpress,
144693,Fackskolor,pedagogisk metodik Eab.06
144695,Fackspråk,"se även resp språk med tillägg .043, t ex svenska Fc.043."
144696,Fackverk,
144698,Factoring,
144700,Factoring--juridik och lagstiftning,
161265,Faddergåvor,
144701,Fadderortsrörelsen,
144702,Fadderverksamhet,
163722,Faddrar,
144704,Fader vår,
392980,Fadersgestalter,
144706,Faderskap,"- psykologi Dogb, - rättsmedicin Vo."
383355,Faderskap i litteraturen,
144707,Faderskap--juridik och lagstiftning,
144709,Fadersrollen,"- psykologi Dogb, - mansfrågor Ohjb, - sociologi Oac."
327046,Fadersrollen i filmen,
383356,Fadersrollen i litteraturen,
144710,Fado,"Portugal, folksång"
144713,Fagott,
400535,Fagott och piano,
144717,Fagottkonserter,
372676,Fagottsonater,
144720,Fajans,"- keramik och porslin Pgb, - konsthantverk Ihfaa"
144721,Faktadatabaser,
144723,Faktaprogram,
144725,Faktaprogram på tv,
144726,Faktoranalys,
280297,Faktur,"- målarkonst Ie, - skulptur Id."
398445,Fakturabedrägeri,
144729,Fakturering,
408933,Fakturor,
144730,Falangism,
144731,Falasher,
404397,Fali (folk),
144735,Faliskiska språket,
144736,Falkar,
144738,Falkenerare,
144739,Falkjakt,
224485,Falkjakt i litteraturen,
144740,Falklandskriget 1982,
144741,Falklandsöarna,Särsk orter Nqdgiz.
317003,Fallolyckor,
144743,Falloskult,
144745,Fallskärmar,
144746,Fallskärmsavtal,
144748,Fallskärmshoppning,
392981,Fallskärmsjägare,
144749,Fallskärmstrupper,
144750,Fallstudier,Även genre/formterm.
144752,Falsett (röst),
144753,Falsk angivelse,
388783,Falsk identitet,
151403,Falsk krupp,
254231,Falska vänner (språk),
144754,Falskdeklaration,
160831,Falskt åtal,
144758,Falugrafikerna,
166849,Falungong,tidigare Falun gong. Ändrat 2002-12.
144760,Familjebeskattning,
144761,Familjebidrag,
144762,Familjebildning,
259997,Familjecentraler,"- familjehjälp Ohfc, - mödra- och barnhälsovård Vpha."
144764,Familjeekonomi,
254943,Familjefokuserad omvårdnad,"- omvårdnad Vpg, - egenvård Vphc. | Vård och omvårdnad för familjer och familjemedlemmar i vårdbehovssituationer. (Svensk MeSH) För verk om stöd och vård som socialtjänsten erbjuder familjer används ämnesordet Familjehjälp."
144765,Familjeföretag,
167321,Familjegudstjänster,
144768,Familjehem,
388784,Familjehemligheter,
1fhlgrf6z17p2rk4,Familjehemligheter i litteraturen,
144769,Familjehjälp,
243091,Familjejordbruk,
388789,Familjekonflikter,
246800,Familjemedicin,
353941,Familjen i Bibeln,
144774,Familjeplaneringsåtgärder,
144775,Familjepolitik,
144776,Familjepsykologi,
144771,Familjer,"Hit verk såväl om familjen som sociologiska begrepp och struktur som verk om vardagsliv och samspel och relationer mellan familjemedlemmar. För resurser som behandlar flera generationer av en familj används termen Släkter. | - familjesociologi Oac, -samhälls- och familjeliv My."
319392,Familjer i filmen,
284838,Familjer i konsten,
222146,Familjer i litteraturen,
353944,Familjer i massmedia,
144772,Familjer--etik och moral,
p7jphm88mlgsqs87,Familjer--religiösa aspekter,
144778,Familjerätt,
144777,Familjerådgivning,
144779,Familjesociologi,Används för resurser om forskning av familjen som social institution. För resurser som redovisar forskningens resultat användas termer såsom Familjer; Familjekonflikter; Barnomsorg; etc.
144780,Familjeterapi,
144781,Fanagalo (språk),
168902,Fanarioter,
144782,Fanatism,
337699,Fandango,
360449,Fanfarer,
341599,Fanfiction,
fwr4s5zfc3pjp84m,Fang (folk),
144784,Fang (språk),
403192,Fanklubbar,
144785,Fanor,
231895,Fans,
144786,Fantasi,
278711,Fantasi i litteraturen,
144787,Fantasi och fuga,
144794,Fantasier,
144791,Fantasier (musik),
321782,Fantasikartor,
319323,Fantasiresor,"Se även resp litteraturhistoria med tillägg .0978, t ex svensk Gc.0978. För genren i sig se H och resp skönlitteratur, t ex svensk Hc."
288430,Fantasispråk,
166982,Fantasivärldar,
243474,Fantasivärldar i konsten,
289389,Fantastisk realism,
144795,Fantasy (litteratur),"Se även genre/formtermen Fantasy (litteratur). | Se även resp litteraturhistoria med tillägg .0978, t ex svensk Gc.0978. För genren i sig se H och resp skönlitteratur t ex svensk Hc. | Se även ämnesord för resp litteraturs fantastiska litteratur, t.ex. Rysk fantastisk litteratur."
144796,Fanti (språk),
174713,Fantombilder,
144797,Fantomsmärtor,
167090,Fanziner,se även resp ämne
144783,Fanér,
388216,Far-barnrelationer,
144799,Far-dotterrelationer,
368979,Far-dotterrelationer i Bibeln,
214908,Far-dotterrelationer i litteraturen,
166717,Far-sonrelationer,tidigare Far-sonförhållande. Ändrat 2002-12.
214909,Far-sonrelationer i litteraturen,
370422,Farandole,
144798,Faraohund,
172015,Faraoner,
144800,Fariséer,
343027,Farliga ämnen,
144801,Farligt gods,
144805,Farmaceuter,särsk Lz
150177,Farmaceutisk kemi,
144808,Farmaci,
144809,Farmakodynamik,
p2b7mj7tmlm8gwsv,Farmakoepidemiologi,
144810,Farmakognosi,
144811,Farmakokinetik,
144812,Farmakologi,
144813,Farmakopéer,
296841,Fars dag,
144815,Farser,"Se även ämnesord för resp litteraturs farser, t.ex. Franska farser."
144817,Fartyg,Särsk typer Prcb.
167762,Fartyg i heraldiken,
214764,Fartyg i konsten,
296843,Fartyg i litteraturen,
263573,Fartygsbefäl,Särsk Lz.
mz562x6hkjq2ph8h,Fartygsbesättningar,
251502,Fartygsdrift,
234529,Fartygskapningar,"- straffrätt Oeb, - kriminologi Oepa."
332552,Fartygsmanövrering,
144818,Fartygsmotorer,
161266,Fartygsolyckor,
144819,Fartygsregister,
333143,Fartygsstabilitet,
144820,Fasader,
144821,Fasan,"- hönsfåglar Uggk, - fjäderfä Qdfi."
144823,Fascism,
297838,Fascism i filmen,
237325,Fascism i litteraturen,
266127,Fascism i massmedia,
wg4c4wvltprzhn12,Fascism och film,
255648,Fascism och konst,
320618,Fascism och litteratur,
168696,Fascister,särsk Lz
144826,Fascistiska partier,
144827,Fashodaaffären 1898,
144828,Fasomvandlingar,
143895,Fast egendom,
144829,Fast egendom--juridik och lagstiftning,
144830,Fasta,
144832,Fasta kroppars mekanik,
144833,Fasta tillståndets fysik,
144834,Fasta tillståndets kemi,
172599,Fasta--religiösa aspekter,se även resp religion med tillägg .04
168076,Fastan,
144835,Fastekurer,
167663,Fastigheter,"fastighet: ""markområde med byggnad(er) som utgör en ekonomisk och juridisk enhet"". För verk om byggnaderna se Byggnader. Se även sammansättningar med Fastighets-."
144837,Fastighetsbildning,` åtgärd genom vilken man kan ändra eller bilda nya fastigheter` (NE)
144838,Fastighetsdata,"- fastighetsbildning Oeabd, - fastighetsförvärv Oeaba"
144841,Fastighetsdomstolar,särsk Oekd:bf
247377,Fastighetsekonomi,"- företagsekonomi Qb, - juridik Oeab."
144842,Fastighetsföretag,Särsk Qz.
144843,Fastighetsförvaltning,
144844,Fastighetsförvaltning--ekonomiska aspekter,
144845,Fastighetsförvaltning--juridik och lagstiftning,
144846,Fastighetsförvärv,
173024,Fastighetsförvärv--historia,
144847,Fastighetsförvärv--juridik och lagstiftning,
170259,Fastighetsförvärv--juridik och lagstiftning--historia,
144848,Fastighetskalendrar,
144850,Fastighetskredit,
311066,Fastighetsmarknaden,
330430,Fastighetsmäklare,Särsk Lz.
144851,Fastighetsmäkleri,
144852,Fastighetsmäkleri--juridik och lagstiftning,
144853,Fastighetsregistrering,
144854,Fastighetsrätt,
144836,Fastighetsskatt,
266200,Fastighetsskötare,Särsk Lz.
144855,Fastighetsskötsel,
144856,Fastighetstaxering,
144857,Fastighetsvärdering,
144858,Fastlagsseder,
144859,Fastlagsspel,
144861,Fata morgana,
144862,Fatalism,"- filosofi Dbcöz, - religion C:d. Särsk filosofer Dbz"
gvdb99k1d9gj9vt7,Fatalism i filmen,
2g0xx3s90rp5nm09,Fatalism i litteraturen,
331998,Fatbur,
222147,Fatimider,
144863,Fattiga,
174498,Fattiga barn,"- social omsorg Ohfb, - sociologi Oabka."
357217,Fattiga i konsten,
266730,Fattiga i litteraturen,
261721,Fattiga kvinnor,
261691,Fattiga män,
322508,Fattigauktioner,Historisk term. Underindelas inte med - historia.
144864,Fattigdom,"- inkomstfördelning Qadj, - världsekonomi Qade, - sociala frågor Oh."
266731,Fattigdom i litteraturen,
zf2b67j7wd25pws6,Fattigdom i massmedia,
144865,Fattigdom--historia,
144867,Fattighus,
144870,Fattigvård,Historisk term. Underindelas inte med - historia.
138601,Fatwor,
155024,Faunavård,"Hit verk om all verksamhet, t.ex. planering, beslut och praktiska åtgärder, som har till syfte att bevara ett områdes fauna. För verk om vård och skydd av husdjur används ämnesordet Djurskydd."
144873,Faunor,
144878,Fauvism,
161267,Fayyumporträtt,
144880,Feber,
144881,Februarirevolutionen 1848,Hit även oroligheterna i Europa under revolutionsåren 1848-1849.
292740,Fedayinrörelsen,
144883,Federalism,
144885,Feer,
388790,Feghet,
t5838zv5rq88wnd0,Fejkade nyheter,
168949,Felanalys (matematik),
144886,Felanalys (språkvetenskap),
144887,Felande länken,
161268,Feldenkraismetoden,
345032,Feldiagnoser,
144888,Felslut,
144889,Felteori,
233747,Fem föreskrifter (Buddhism),
l0r39vskjwf633rk,Femfaktorteorin,
144892,Feminism,
215540,Feminism och film,
237686,Feminism och konst,
222150,Feminism och litteratur,"- litteraturestetik G:df, - kvinnolitteratur G.0972."
349294,Feminism och musik,
366130,Feminism och teater,
9qtb61037702f4xt,Feminism på tv,
336649,Feminism--historia,
214558,Feminism--politiska aspekter,
342177,Feminister,
l25bk0f9j2nvpk6c,Feministisk ekonomi,
161269,Feministisk filmteori,
216513,Feministisk konstteori,
172735,Feministisk kriminologi,
166744,Feministisk litteraturforskning,
168697,Feministisk litteraturkritik,
370419,Feministisk musik,
366133,Feministisk teater,
367644,Feministisk teaterkritik,
144893,Feministisk teori,
214618,Feministisk teori--religiösa aspekter,
268532,Feministisk terapi,
144894,Feministteologi,
144895,Femkamp,
167567,Femmes fatales,
167568,Femmes fatales i filmen,
167714,Femmes fatales i litteraturen,
388796,Femtioåringar,
144897,Femårsplaner,
161270,Feng shui,
144898,Fengäddor,
144899,Fenicien,
144900,Fenicier,"Underindelas inte med - fornlämningar, eftersom fenicier är ett utdött folk. Använd istället Fenicier eller Feniciska fornlämningar - [plats]."
240010,Fenicisk konst,
144901,Fenicisk religion,
215099,Feniciska fornlämningar,
375541,Feniciska sarkofager,
144902,Feniciska språket,
352087,Fenier,
169015,Fennomani,”finländsk nationell rörelse som strävade att upprätta en rent finskspråkig kultur”. NE
144903,Fenoler,
144904,Fenologi,"- biologi Ue.047, - zoologi Ug.047, - medicin Vca."
168974,Fenomenalism,
333144,Fenomenografi,"- kunskapsteori och vetenskapsteori Dd, - pedagogik - metodlära Ea:dd."
144908,Fenomenologi,Särsk filosofer Dbz. | Fenomenologi - läran om det som visar sig för medvetandet (NE).
324923,Fenomenologi i litteraturen,
0kvk4l91xqx5n67g,Fenomenologi och litteratur,
144909,Fenomenologisk psykologi,
268533,Fenotyper,
144910,Fenoxisyror,
166921,Fenrisulven,
144911,Fenylketonuri,
161272,Feodalism,
394307,Ferguson (traktorer),
397059,Fermenterade livsmedel,
249859,Fermioner,
144912,Fernissor,
219250,Feromoner,
242715,Ferrari (bilar),För verk om själva företaget se företagets namn.
144914,Ferritminnen,
239539,Ferroelektricitet,
261808,Ferrotypi,
172628,Fersenska mordet 1810,
145871,Fertilitet,
144916,Fester,
216784,Fester i konsten,
161273,Festivaler,
351693,Festmarscher,
144918,Festmat,
144919,Festseder,
144920,Festskrifter,
144923,Festtåg,
168803,Fetalt alkoholsyndrom,"- alkoholism Vlna, - graviditet Vgaba"
168222,Fetbladsväxter,
144924,Fetischism (religion),Se ven resp religion med tillgg 02
168905,Fetischism (sexologi),
144926,Fetter,
144927,"Fetter--framställning, tillverkning etc.",
252843,Fettlösliga vitaminer,
270250,Fettsyror,
321365,Fiat (bilar),För verk om själva företaget se företagets namn.
167366,Fiber art,
144928,Fiberglas,
144931,Fiberoptik,"- fysik Uccb, - teknisk optik Pab."
144929,Fiberrik kost,"- matlagning för speciella grupper och ändamål Qcab, - dietik Vmb."
144933,Fiberväxter,
275421,Fibonaccis tal,
144935,Fibromyalgi,
144936,Fibulor,"- konsthantverk Ihe, - arkeologi J.05"
dr28dw8wbpxwd55g,Fickor (kläder),
144938,Fickpengar,
161274,Fickur,
144939,Fiddla,
144942,Fideikommiss,
144943,Fideikommiss--juridik och lagstiftning,
144945,Field spaniel,
359692,Fiender,
174499,Figurdikter,
394309,Figuriner,
144946,Figurlära,
144948,Figurteckning,
144950,Fiji,För verk om landets historia läggs geografiskt ämnesord och det allmänna ämnesordet Historia.
330724,Fijianer,Hit verk om fijianer utanför Fiji. Används endast tillsammans med geografiskt ämnesord. För verk om fijianer på Fiji används t.ex. Nationalkaraktär; Folkseder; Samhällsliv; Traditioner; Sociala förhållanden i kombination med Fiji.
274646,Fikon,
227676,Fikonträdet i konsten,
144951,Fiktionalism,Särsk filosofer Dbz.
262783,Fiktiva dokumentärfilmer,
168077,Fiktiva gestalter,"Se även särsk fiktiva gestalter, t ex King Kong (fiktiv gestalt)."
4gbhmw692cnjxx67,Fiktiva krig och fältslag,
166981,Fiktiva platser i litteraturen,
144953,Filadelfiaförsamlingar,
161275,Filantroper,
144956,Filar,
144957,Filateli,
254947,Fildelning,"- samhällsaspekter Bv, - tekniska aspekter Puc."
254949,Fildelning--juridik och lagstiftning,
144960,Filering,
144961,Filhantering,
144962,Filhanteringssystem,
144963,Filhellener,
7lw372md57ft955j,Filicid,
144964,Filigranarbeten,
144965,Filippinerna,För verk om landets historia läggs geografiskt ämnesord och det allmänna ämnesordet Historia. | Särsk orter Nodcz.
152373,Filippinerna--Leyte,
157594,Filippinerna--Quezon,
370948,Filippinsk matlagning,
220351,Filippinska språk,
144972,Filistéer,
144973,Film,Se även allmänna ämnesord konstruerade [Ämne] i filmen. | Se även genre/formtermen Filmer.
374743,Film i undervisningen,
161276,Film noir,
w7nknthstzhhg22n,Film och historia,Hit verk om den relation och det inflytande som film har haft på historien. Verk om film som porträtterar historiska händelser eller historiska personer beskrivs med ämnesordet Historiska filmer. Verk om historiska teman i filmer som i sig inte är historiska filmer beskrivs med ämnesordet Historia i film.
278580,Film och krig,Används för verk om hur krig påverkat filmen. För verk om hur krig skildras i filmen används ämnesordet Krigsfilm.
255958,Film och litteratur,
h2ng4w3vf7cxg2h3,Film och musik,
319324,Film och religion,
144977,Film och samhälle,
8tngfzp66h77gxbb,Film och staten,
340025,Film som historiska källor,Hit allmänna verk om film som historiskt källmaterial. För verk om särskilda typer av film som källmaterial används andra lämpliga ämnesord t ex Dokumentärfilm - källor.
144989,Film--historia,
335610,Film--politiska aspekter,
346433,Film--sociala aspekter,
2f9tqx940s47qk38,"Film--teori, filosofi",
144978,Filmaffischer,
174260,Filmarkiv,
144979,Filmaskiner,
300462,Filmbolag,Särsk Qz.
144990,Filmbranschen,
144981,Filmcensur,
144982,Filmdistribution,
144983,Filmestetik,
144816,Filmfarser,
144986,Filmfestivaler,
144987,Filmfotografer,Särsk Inz.
144988,Filmfotografering,
144974,Filmfotoutrustning,
388797,Filminspelningar,
149830,Filmkameror,
153114,Filmklippning,
166922,Filmklubbar,Härmed avses förening av filmintresserade med syfte att visa klassiska och andra filmer av särskilt intresse. (NE). För lokaler avsedda för filminspelning se Filmateljéer.
151331,Filmkritik,
167113,Filmkritiker,särsk Lz
144995,Filmmanuskript,
144996,Filmmusik,
144999,Filmografi,Även genre/formterm.
145000,Filmpolitik,
310365,Filmproducenter,Särsk Lz.
145001,Filmproduktion,
145002,Filmprojektion,
157125,Filmprojektorer,
145003,Filmpsykologi,
145004,Filmpublik,
145005,Filmpåverkan,
145006,Filmregi,
145007,Filmregissörer,Särsk Ikz.
145008,Filmreklam,
145009,Filmscenarier,"se även resp skönlitteratur med tillägg .02, t ex svensk Gc.02. För genren i sig se H.025 och resp skönlitteratur med tillägg .025, t ex svensk Hc.025"
145010,Filmsemiotik,
145013,Filmskådespelare,Särsk Ikz
170261,Filmsminkning,
145014,Filmsociologi,
168261,Filmstudior (inspelningsplatser),för föreningar för filmvisningar etc. se Filmstudior.
145015,Filmstöd,
150281,Filmteknik,
145016,Filmteori,
333149,Filmtitlar,
145017,Filmundervisning,
216951,Filmvetenskap,"Hit verk om disciplinen filmvetenskap. För verk om film och filmens historia används ämnesorden Film, Film - historia eller mer specifika ämnesord."
145020,Filning,
267943,Filologer,Särsk Lz.
145021,Filologi,LCSH:s scopenote: Here are entered general works on language and literature treated together.
167367,Filosemitism,
145024,Filosofer,särsk Dbz
172701,Filosofer i konsten,
145025,Filosofi,"Se även den allmänna underindelningen - teori, filosofi."
359070,Filosofi i litteraturen,
145030,Filosofi och naturvetenskap,
265203,Filosofi och religion,"Hit verk om det ömsesidiga förhållandet och influenserna mellan filosofi och religion. Verk om religionens filosofi får ämnesordet Religion - teori, filosofi."
145027,Filosofi--historia,
139588,Filosofisk antropologi,
396941,Filosofisk antropologi i filmen,
145032,Filosofisk litteratur,
170400,Filosofisk rådgivning,
145028,Filosofiundervisning,
145036,Filt,
145037,Filter,
145041,Filtning,
145042,Filtrering,
262389,Fimbulvinter,Hit verk om Fimbulvintern i fornnordisk mytologi.
145053,Fin-de-siècle,"Inom kultur- och idéhistorien beteckning för vissa tendenser karaktäristiska för åren kring sekelskiftet 1900: en dragning till det mystiska och ockulta men också till det nervöst sensibla och raffinerade (NE). Uttrycket uppkom omkring 1890 i Frankrike (Svensk uppslagsbok). | - kulturhistoria Kt.46, - litteraturvetenskap G.46; G.5."
145043,Finansbolag,
145044,Finanser,
145048,Finansförvaltning,
161278,Finansiell ekonomi,
n0l4xzj9lr6xzzsc,Finansiell förmåga,
220353,Finansiell rådgivning,
0dw2sq3sxxzb2krj,Finansiell trygghet,
380773,Finansiella institut,
400124,Finansiella institut--juridik och lagstiftning,
161279,Finansiella marknader,
167128,Finansiella tjänster,
149928,Finansiering,Se även underindelningen - ekonomiska aspekter under allmänna ämnesord.
145049,Finansieringsanalys,
331999,Finanskrisen 2008-2009,
395786,Finanskrisen 2008-2009 i filmen,
395792,Finanskrisen 2008-2009 i litteraturen,
395794,Finanskrisen 2008-2009 i massmedia,
395795,Finanskrisen 2008-2009 på tv,
219218,Finanskriser,
265205,Finansministrar,"- statsvetenskap Oc.03, - särsk Lz."
145050,Finanspolitik,
145051,Finansrätt,
391942,Finansvärlden,Används endast för skönlitteratur.
145052,Finansväsen,
145056,Fingeravtryck,
370223,Fingercymbaler,
350816,Fingerlekar,
357903,Fingrar,
145057,Finita differenser,
145058,Finita elementmetoden,
145060,Finkar,
145067,Finland,För verk om landets historia läggs geografiskt ämnesord och det allmänna ämnesordet Historia. | Särsk provinser och orter Nddz.
141465,Finland--Borgå,
144207,Finland--Enare träsk,
146523,Finland--Gamlakarleby,
147622,Finland--Hangö,
147770,Finland--Helsingfors,
148669,Finland--Imatra,
149327,Finland--Jakobstad,
149982,Finland--Karelen,
151163,Finland--Kotka,
155481,Finland--Nykarleby,
155496,Finland--Nyland,
155520,Finland--Nystad,
157363,Finland--Punkaharju,
158351,Finland--Rovaniemi,
164548,Finland--Saima,
164780,Finland--Satakunda,
164804,Finland--Savolax,
290837,Finland--Storkyro,Storkyro (finska Isokyrö) är en kommun i landskapet Österbotten i Västra Finlands län.
163402,Finland--Sveaborg,
163431,Finland--Svensksund,
158751,Finland--Tammerfors,
159528,Finland--Torneå,
162139,Finland--Vasa,
162464,Finland--Villmanstrand,
160749,Finland--Åbo,
161002,Finland--Österbotten,
278582,Finlands övergång till Ryssland 1809,
145069,Finlandsfrivilliga i finska inbördeskriget 1918,
145070,Finlandsfrivilliga i finska vinterkriget 1939-1940,
145071,Finlandsfrivilliga i fortsättningskriget 1941-1944,
145072,Finlandshjälpen,
230923,Finlandssvensk barn- och ungdomslitteratur,
214765,Finlandssvensk litteratur,För litteraturen i sig se Hcd.
145073,Finlandssvensk litteratur--historia,
214766,Finlandssvensk poesi,
320611,Finlandssvensk teater,
145075,Finlandssvenska,
226014,Finlandssvenska författare,Särsk Gcdz; Gcz (folkbibl)
250211,Finlandssvenska kvinnliga författare,: Särsk Gcdz; Gcz (folkbibl).
383357,Finlandssvenska poeter,
145077,Finlandssvenskar,
145076,Finlandssvenskar--historia,
145079,Finländare,Hit verk om finländare utanför Finland. Används endast tillsammans med geografiskt ämnesord. För verk om finländare i Finland används t.ex. Nationalkaraktär; Folkseder; Samhällsliv; Traditioner; Sociala förhållanden i kombination med Finland.
268017,Finländare i utlandet,Används för verk om finländare i fler än tre länder som inte kan sammanföras i ett vidare geografiskt begrepp. För verk om finländare i ett särskilt land eller större område används ämnesordet Finländare och lämpligt geografisk ämnesord.
145078,Finländare--historia,
145080,Finmekanik,
167462,Finmotorik,
145082,Finnar,
145081,Finnar--historia,
319325,Finnjollar,
145083,Finnkolonisation,Historisk term. Underindelas inte med underindelningen - historia.
145085,Finnmarker,"""de områden i Sverige där svedjebrukande finska nybyggare (""skogsfinnar"") slog sig ned i större antal ca 1570–ca 1660."" (NE) | Komplettera vid behov med geografiskt ämnesord för finnmarker i särskild del av Sverige, t.ex. Sverige – Värmland."
145087,Finnväv,
372055,Finsk akvarellmålning,
222182,Finsk barn- och ungdomslitteratur,
214767,Finsk folkdiktning,
327535,Finsk konst,
327534,Finsk konst--historia,
145088,Finsk lapphund,
168439,Finsk litteratur,För litteraturen i sig se Hub.
145089,Finsk litteratur--historia,
370950,Finsk matlagning,
372510,Finsk målarkonst,
167961,Finsk poesi,För genren i sig se Hub.03
373636,Finsk porträttkonst,
145090,Finsk religion,
372322,Finsk skulptur,
145092,Finsk spets,
145093,Finsk stövare,
145100,Finsk-ugrisk religion,
145101,Finsk-ugriska folk,
145103,Finsk-ugriska språk,
222183,Finska barnboksförfattare,"Särsk Gubz, Gz (folkbibl)."
222186,Finska deckare,
254950,Finska dramatiker,"Särsk Gubz, Gz (folkbibl)."
222184,Finska författare,"Särsk Gubz, Gz (folkbibl)."
167422,Finska gudstjänster,
267343,Finska historiska romaner,För genren i sig se Hub.01.
145095,Finska inbördeskriget 1918,
354832,Finska influenser,
145097,Finska kriget 1808-1809,
151233,Finska krigsbarn,
254953,Finska kvinnliga författare,"Särsk Gubz, Gz (folkbibl)."
242140,Finska kärleksromaner,
406621,Finska lånord,
172629,Finska ortnamn,Används för finska ortnamn utanför Finland. För finska ortnamn i Finland används allmänna ämnesordet Ortnamn och geografiska ämnesordet Finland.
375490,Finska reliefer,
242141,Finska romaner,För genren i sig används SAB-kod Hub.01.
217546,Finska släktnamn,Används för finska släktnamn utanför Finland. För finska släktnamn i Finland används allmänna ämnesordet Släktnamn och geografiska ämnesordet Finland.
250617,Finska som andraspråk,
145094,Finska språket,
145099,Finska vinterkriget 1939-1940,
372171,Finskt historiemåleri,
372194,Finskt kalkmåleri,
372474,Finskt landskapsmåleri,
q4mtqld7nlw4wc1l,Finskt militärt deltagande,
372581,Finskt muralmåleri,
145104,Finsnickeri,
145105,Fiolbyggnad,
145106,Firma,
145107,Firma--juridik och lagstiftning,
161280,Firmarätt,
145109,Fisk,
145111,Fiskar,
222187,Fiskar i konsten,
232811,Fiskar i litteraturen,
145114,Fiskare,Särsk Lz.
287653,Fiskarkapell,
260001,Fiskbete,
145118,Fiske,"- ekonomi och näringsväsen Qgb, - etnografi Mx."
219252,Fiske i konsten,
168820,Fiske--miljöaspekter,
145121,Fiskebåtar,
235695,Fiskekort,
145122,Fiskelägen,
145123,Fiskeredskap,"- yrkesfiske Qgbc, - sportfiske Qgbaa, - etnografi Mv."
145126,Fiskeregale,Historisk term. Underindelas ej med - historia.
145120,Fiskerilagstiftning,"Se även namn på särskilda lagar, t.ex. Fiskeristadgan."
226016,Fiskeripolitik,
323341,Fiskeritjänstemän,Särsk Lz.
145129,Fiskeskildringar,
145130,Fiskevatten,
145131,Fiskevård,
145132,Fiskgjusar,
145133,Fiskhandel,
145134,Fiskkonserver,
